p	E	Mean edge participation	Std edge participation	Largest cycle size	Mean cycle size	Std cycle size	Number of cycles	Number cycle connected components	Number of TR edges	Longest path	Number of nodes	Number of edges	Balance	Balance_norm	Number_diamonds	Number_mixers	Largest eigenvalue M_C	Largest eigenvalue A_C	Mean cycle height	Std cycle height	Mean stretch	eigenvalue_ratio	Largest M_C by corr size
6	2547	2.549295775	4.591445605	7	4.796819788	0.672049599	566	1	1065	14	500	1065	0.110419136	0.088232328	354	212	109.4055017	104.6005359	7.187998486	1.061463371	3.874558304	0.956081132	21.88110033
7	2970	2.835110747	3.057536481	7	4.8	0.604611905	720	1	1219	17	500	1219	0.121219812	0.095829535	342	378	49.16327981	44.21483951	8.743091931	1.465288527	4.547222222	0.899346823	12.29081995
7	2862	2.569369369	4.114592638	6	4.667757774	0.636524457	611	1	1110	13	500	1110	0.091692227	0.074941504	428	183	73.75119628	68.90382939	6.783169667	1.262622024	4.448445172	0.934274057	18.43779907
7	2767	2.637453875	3.397486505	7	4.887179487	0.659647466	585	1	1084	16	500	1084	0.12520163	0.099363985	289	296	64.11529068	59.23190626	8.894782255	1.496595262	5.420512821	0.923834325	16.02882267
7	2763	2.695381883	3.377718757	7	4.840510367	0.684821816	627	1	1126	18	500	1126	0.117866016	0.092706284	306	321	58.74313033	53.74590432	7.718402066	1.935929367	6.583732057	0.914930887	14.68578258
7	2731	2.73066424	3.397300836	8	5.001666667	0.71297304	600	1	1099	16	500	1099	0.129823036	0.102785526	309	291	57.85031912	52.93891254	8.592242063	2.053414079	5.961666667	0.915101478	14.46257978
7	2864	2.676444444	3.761113993	7	4.809904153	0.678725777	626	1	1125	15	500	1125	0.115079024	0.091143945	367	259	70.03012925	65.13618482	7.912737715	1.261529947	4.776357827	0.930116587	14.00602585
7	2803	2.680755396	3.588258752	7	4.862969005	0.727562016	613	1	1112	14	500	1112	0.115647065	0.091348353	312	301	67.88748699	63.04731079	7.235916259	1.406196418	4.685154976	0.92870297	16.97187175
7	2852	2.669750231	2.996313003	7	4.958762887	0.70468524	582	1	1081	15	500	1081	0.129962873	0.101808272	261	321	45.45422729	40.50039476	7.604307806	1.736066282	5.235395189	0.891014922	11.36355682
7	2810	2.687557604	2.70467798	8	4.976109215	0.668227661	586	1	1085	19	500	1085	0.14117995	0.109701974	207	379	38.43706121	33.35574817	10.79711117	1.978212317	6.699658703	0.867801729	9.609265302
7	2877	2.662511131	3.561830365	7	4.791666667	0.656472541	624	1	1123	15	500	1123	0.113757204	0.089977798	306	318	68.07164581	63.21054874	8.051884921	1.315922798	4.700320513	0.928588519	17.01791145
7	2794	2.647113594	3.20341648	7	4.944347826	0.700582528	575	1	1074	17	500	1074	0.125830085	0.098031527	284	291	59.82034133	54.66905937	8.390078675	1.622341479	5.39826087	0.913887453	11.96406827
7	2832	2.611872146	3.275207221	7	4.798657718	0.644854344	596	1	1095	16	500	1095	0.114067548	0.091737544	319	277	55.34038303	50.52922265	7.929138702	1.668360312	5.627516779	0.913062395	13.83509576
7	2873	2.63760218	3.013503257	7	4.823920266	0.651264485	602	1	1101	17	500	1101	0.12247087	0.096042069	261	341	57.51197789	52.46595774	8.620831356	1.729280671	6.066445183	0.912261405	14.37799447
7	2814	2.668173599	4.233170029	9	4.861614498	0.689262932	607	1	1106	14	500	1106	0.118151902	0.094792427	335	272	91.66136089	86.7682039	7.786022855	1.1176559	4.232289951	0.946617016	10.18459565
7	2818	2.68902439	3.659266042	7	4.756548536	0.663295537	649	1	1148	16	500	1148	0.107232155	0.085526943	322	327	68.45161717	63.5068682	7.993513831	1.793718592	5.605546995	0.927762861	17.11290429
7	2777	2.630755064	3.203205804	7	4.867120954	0.659920281	587	1	1086	17	500	1086	0.122893178	0.097323998	295	292	57.44934866	52.42775726	8.790407236	2.090093291	5.981260647	0.912590978	14.36233717
7	2912	2.743787489	3.456225517	8	4.793413174	0.658308277	668	1	1167	15	500	1167	0.112566497	0.090190898	358	310	64.68727282	59.94129693	7.912963359	1.63502424	5.401197605	0.926631999	16.1718182
7	2746	2.711030082	2.939901916	8	4.973244147	0.714835513	598	1	1097	17	500	1097	0.138054008	0.107067361	248	350	43.68187076	38.45224353	8.976688167	1.860780754	6.138795987	0.880279229	10.92046769
7	2812	2.586466165	3.303001186	8	4.87079646	0.688165628	565	1	1064	16	500	1064	0.120192499	0.09588943	282	283	56.27110977	51.22010982	7.937484197	1.497092071	5.431858407	0.910238131	14.06777744
7	2941	2.737734166	3.257447905	7	4.934083601	0.704027718	622	1	1121	18	500	1121	0.126217475	0.099467373	320	302	60.67013203	55.73759078	8.366184352	1.948373181	5.689710611	0.918699019	15.16753301
8	3162	2.600182149	3.699244245	7	4.766277129	0.713895937	599	1	1098	16	500	1098	0.097620766	0.078814666	349	250	61.05413521	56.25253624	8.760410207	1.530560317	4.74624374	0.921355057	15.2635338
8	3092	2.749351772	3.3286312	7	4.834346505	0.658061731	658	1	1157	15	500	1157	0.11797783	0.094199015	352	306	55.93668713	51.03196103	8.07370097	1.664576964	5.539513678	0.912316472	13.98417178
8	2985	2.504540868	4.03887886	8	5.044715447	0.779587472	492	1	991	15	500	991	0.129192972	0.102636319	289	203	91.84310671	86.80802009	8.166690863	1.463256089	4.662601626	0.945177305	22.96077668
8	3223	2.615455382	3.345933608	9	4.835034014	0.715473179	588	1	1087	17	500	1087	0.110457735	0.087891677	317	271	56.82277012	51.72625851	10.86849827	1.563748528	5.130952381	0.910308639	9.470461687
8	3163	2.666666667	2.927291008	7	4.833876221	0.681365957	614	1	1113	16	500	1113	0.117477939	0.09273132	293	321	46.87673226	42.20689443	9.342725299	1.906329223	5.42019544	0.900380474	11.71918307
8	2959	2.600888889	3.963365474	7	4.674121406	0.641385241	626	1	1125	15	500	1125	0.097157167	0.077628302	334	292	93.41687233	88.71216754	7.881800548	1.248495598	4.89456869	0.949637526	23.35421808
8	3166	2.652557319	3.622035683	9	4.737007874	0.695407109	635	1	1134	16	500	1134	0.105855246	0.083589094	322	313	72.87283121	67.94318786	8.801388576	1.170008857	4.522834646	0.932352795	18.2182078
8	3193	2.567901235	2.977981091	8	4.880866426	0.682606472	554	1	1053	17	500	1053	0.129797568	0.102117123	250	304	48.79855109	44.08367871	9.615959687	1.613714455	5.0433213	0.903380894	12.19963777
8	3229	2.757469244	3.246068531	8	4.910798122	0.733627228	639	1	1138	18	500	1138	0.123357049	0.096538694	270	369	66.46197231	61.40428665	10.9032957	1.466707039	5.245696401	0.92390106	16.61549308
8	3232	2.623496762	3.34090827	7	4.872852234	0.718665078	582	1	1081	18	500	1081	0.119477671	0.094793694	330	252	54.31880439	49.48370141	10.3475495	1.82920129	5.704467354	0.910986572	13.5797011
8	3091	2.718038529	3.298782932	7	4.827371695	0.642988573	643	1	1142	14	500	1142	0.121734848	0.096412536	307	336	62.29898408	57.57628257	7.661060505	1.434614736	4.706065319	0.924192961	15.57474602
8	3267	2.752941176	3.208099611	7	4.740955137	0.616501226	691	1	1190	17	500	1190	0.112167923	0.0891	315	376	54.78285787	49.97515357	9.21316932	1.639658057	5.17366136	0.912240717	13.69571447
8	3201	2.597000937	3.152587846	8	4.878521127	0.710358417	568	1	1067	19	500	1067	0.124781461	0.097135048	234	334	61.13598629	56.15178881	10.26666876	1.690209007	5.485915493	0.91847359	15.28399657
8	3243	2.655783582	3.180512042	8	4.968586387	0.690795322	573	1	1072	19	500	1072	0.130885385	0.103413325	283	290	56.80879554	51.71342108	9.960063991	1.711824619	5.298429319	0.910306592	14.20219888
8	3110	2.522432702	3.194312815	11	5.01984127	0.786545576	504	1	1003	17	500	1003	0.135666069	0.106226384	247	257	66.3737932	61.23661486	9.890171271	1.683283463	4.982142857	0.922602309	13.27475864
8	3091	2.706199461	3.365557701	7	4.905537459	0.711150342	614	1	1113	17	500	1113	0.123559199	0.098013384	319	295	64.88964572	59.98085316	9.197867225	1.892219372	6.017915309	0.924351682	16.22241143
8	3004	2.723695466	3.487451983	7	4.752238806	0.689875223	670	1	1169	15	500	1169	0.099942771	0.080447162	382	288	57.24607492	52.5012252	7.196709311	1.720949852	5.705970149	0.917114846	14.31151873
8	3283	2.624113475	3.556113519	9	4.705882353	0.658306633	629	1	1128	19	500	1128	0.104210648	0.08294834	315	314	67.23317634	62.55390977	10.62386126	1.778508113	6.510333863	0.930402417	16.80829408
8	3294	2.624324324	2.942136143	10	4.767594108	0.670879389	611	1	1110	19	500	1110	0.116785299	0.091467547	246	365	47.91143542	43.07055231	11.75511651	2.046406121	6.099836334	0.898961844	11.97785886
8	3093	2.65873742	3.153253748	8	4.892255892	0.723702109	594	1	1093	16	500	1093	0.121131235	0.095187344	297	297	48.23330924	43.4014938	8.436686308	2.028002349	6.427609428	0.899824094	12.05832731
