p	E	Mean edge participation	Std edge participation	Largest cycle size	Mean cycle size	Std cycle size	Number of cycles	Number cycle connected components	Number of TR edges	Longest path	Number of nodes	Number of edges	Balance	Balance_norm	Number_diamonds	Number_mixers	Largest eigenvalue M_C	Largest eigenvalue A_C	Mean cycle height	Std cycle height	Mean stretch	eigenvalue_ratio	Largest M_C by corr size
0.8	99924	0.788429752	0.676548128	10	4.5	0.860561467	106	63	605	407	500	605	0.06294914	0.052619537	101	5	10.60555128	4.249140538	181.4398697	111.4981298	2.641509434	0.188580485	2.651387819
0.8	99630	0.692047377	0.660657293	7	4.445652174	0.742559183	92	57	591	418	500	591	0.056310275	0.046677582	87	5	8.892185879	3.469039188	196.4125518	119.5120242	2.532608696	-0.266782696	2.22304647
0.8	99857	0.704391892	0.708620402	8	4.483870968	0.756518671	93	53	592	418	500	592	0.061797978	0.051667224	85	8	10.4335511	5.537209098	203.5384665	118.1871283	2.569892473	0.404290607	2.086710219
0.8	99758	0.691919192	0.711404468	6	4.326315789	0.531969632	95	55	594	416	500	594	0.046532784	0.039617633	88	7	9.052031618	4.939234868	214.8247368	126.7348697	2.357894737	0.465993368	2.263007904
0.8	99995	0.716917923	0.651192861	7	4.367346939	0.61258494	98	65	597	412	500	597	0.048003621	0.040758547	92	6	8.737735586	4.218186702	212.4660107	118.0986767	2.428571429	-0.228892255	1.747547117
0.8	99855	0.682432432	0.652822998	7	4.344086022	0.630661432	93	64	592	416	500	592	0.046338966	0.039247312	91	2	10.13554992	6.135549923	189.8919867	119.6280668	2.365591398	-0.121953716	2.533887481
0.8	99791	0.739202658	0.708344682	6	4.32038835	0.610802309	103	60	602	409	500	602	0.040568655	0.034223301	97	6	8.986897675	4.966104878	183.620712	119.1773943	2.368932039	0.48510876	1.797379535
0.8	99657	0.622413793	0.65166712	7	4.456790123	0.72092846	81	53	580	425	500	580	0.061164875	0.050856019	78	3	9.747329204	5.197887732	226.2257496	121.5699087	2.456790123	0.533262766	1.949465841
0.8	99848	0.728643216	0.626120705	7	4.43877551	0.686105938	98	67	597	409	500	597	0.059422474	0.04994222	94	4	8.505246613	4.264425476	210.3187561	125.8520962	2.520408163	-0.086070498	2.126311653
0.8	99766	0.707563025	0.716100512	7	4.385416667	0.635245879	96	56	595	418	500	595	0.046999008	0.040104167	89	7	9.976122803	5.673228135	192.1186012	117.2710154	2.520833333	0.100239343	1.995224561
0.8	99984	0.851132686	0.694761032	7	4.420168067	0.614882626	119	63	618	398	500	618	0.057723089	0.049369748	114	5	9.148893996	4.939234868	197.2271909	105.6311192	2.512605042	0.539872346	2.287223499
