m	E	Mean edge participation	Std edge participation	Largest cycle size	Mean cycle size	Std cycle size	Number of cycles	Number cycle connected components	Number of TR edges	Longest path	Number of nodes	Number of edges	Balance	Balance_norm	Number_diamonds	Number_mixers	Largest eigenvalue M_C	Largest eigenvalue A_C	Mean cycle height	Std cycle height	Mean stretch	eigenvalue_ratio	Largest M_C by corr size	
0.2	25160	2.6395147313691507	1.3725579000990844	7	4.650381679389313	0.645521748358091	655	1	1154	143	500	1154	0.09253334928302193	0.07619755418721048	482	173	20.486265574776855	15.600413904983757	74.34656125045437	40.06125206131812	5.221374045801527	0.7615059879039806	5.121566393694214	
0.2	24981	2.7219031993437244	1.4516334564979614	8	4.608333333333333	0.6004049559348349	720	1	1219	139	500	1219	0.08884809548939396	0.07298384718782139	510	210	21.756299644792552	16.89417100749195	62.87541666666666	36.86191161082353	5.6125	0.776518584654428	4.351259928958511	
0.3	37421	2.3621197252208046	1.2575104388516725	8	4.628846153846154	0.7062459090314567	520	2	1019	195	500	1019	0.0864961276969041	0.07126977830968406	402	118	18.938597919544122	14.214785283358726	86.73065934065934	53.70896246525632	4.338461538461538	0.7505722093972675	3.7877195839088245	
0.3	37736	2.2871690427698574	1.1781351249523706	7	4.650103519668737	0.7105643148923101	483	4	982	208	500	982	0.08634507968548398	0.07094635552263498	363	120	18.790910387870927	13.941332485120304	103.41715468796212	57.1813270361607	4.318840579710145	0.7419189489679592	3.7581820775741854	
0.3	37181	2.2630480167014615	1.1530625010406363	9	4.723311546840959	0.7288941192953603	459	2	958	204	500	958	0.09861633033226941	0.07993577152751101	334	125	17.554155168412777	12.200057223052106	106.29129923574368	57.3880366460293	4.468409586056645	0.694995407412433	4.388538792103194	
0.3	37160	2.3916015625	1.3621443678067162	9	4.664761904761905	0.7050810088386607	525	1	1024	193	500	1024	0.0907484820684775	0.07434959814469366	388	137	20.493640263451933	15.759189957924475	99.51790022675736	55.52054142249977	4.836190476190477	0.7689795348866931	5.123410065862983	
0.3	37420	2.316950852557673	1.3248052148007514	8	4.63855421686747	0.7070212402814541	498	1	997	199	500	997	0.08864688828637793	0.0723368852544551	365	133	21.406941857304737	16.726445119400864	102.30137215528782	59.09163830384203	4.624497991967871	0.7813561241440595	4.281388371460947	
0.3	37518	2.355339805825243	1.2801492749228112	8	4.568738229755179	0.6864865303377016	531	2	1030	188	500	1030	0.07639795682324614	0.06323851783714585	408	123	18.52888471375826	14.012719290288727	95.86512420410725	56.27979830582654	4.271186440677966	0.756263504617947	4.632221178439565	
0.3	37543	2.3359840954274356	1.225328038905484	9	4.6351084812623276	0.7014989150930928	507	1	1006	195	500	1006	0.08759874509514168	0.07171105804582906	376	131	18.379043106024454	13.83413153749775	95.40679064525217	52.538553096224696	4.552268244575937	0.7527122852746926	4.594760776506114	
0.3	37336	2.518716577540107	1.3398150003562919	8	4.536115569823435	0.6088399090054043	623	1	1122	172	500	1122	0.07836136343467495	0.06508026714162975	467	156	18.721459845294444	13.900763478546848	88.52182221203088	45.0608857700741	4.5553772070626	0.7425042487827541	2.674494263613492	
0.3	37457	2.3076923076923075	1.235630581389731	10	4.662576687116564	0.7393762271430427	489	1	988	204	500	988	0.0894670811872028	0.07341392662495067	373	116	17.287956372333674	12.473080537709281	101.60341318531502	56.74723098449272	4.807770961145194	0.6831467459615823	4.321989093083419	
0.3	37521	2.3118712273641853	1.1771294414159355	8	4.642424242424243	0.7215430867792799	495	1	994	198	500	994	0.08408815281181348	0.06939157620828544	383	112	17.76258244734836	12.924492780126211	101.9918759018759	52.87591970176121	4.319191919191919	0.7276246468348193	3.552516489469672	
0.3	37274	2.340659340659341	1.1770512797325547	8	4.6673306772908365	0.6877473812190381	502	2	1001	198	500	1001	0.0937422249110388	0.07651796252357004	357	145	17.435689934938786	12.55814597158128	103.08817823942324	54.94515244323493	4.605577689243028	0.72025517879946	2.9059483224897975	
0.3	37506	2.3949579831932772	1.2869860611070687	7	4.484265734265734	0.5746059635101118	572	1	1071	192	500	1071	0.07368758815251354	0.06081197982384895	430	142	18.279114615187527	13.738087343134028	95.4044413919414	56.16555636008104	4.575174825174825	0.7010139232651473	4.569778653796882	
0.3	37420	2.3912630579297245	1.2406534213095828	9	4.5451263537906135	0.6263928035374674	554	1	1053	179	500	1053	0.07883541158901382	0.06531285257635935	418	136	17.199104864205818	12.50541538048078	85.6600438370294	51.331384207875594	4.247292418772563	0.7270968738906068	4.2997762160514545	
0.3	37653	2.3052208835341363	1.1447509205438389	11	4.619718309859155	0.7164729738519957	497	1	996	199	500	996	0.08682362390186253	0.07112777132909516	391	106	16.985807416573508	12.234691523447905	94.00729485135923	57.40773444406239	4.503018108651911	0.7202890756614955	4.246451854143377	
0.3	37396	2.396551724137931	1.2586206896551724	8	4.590825688073394	0.6660221893986082	545	1	1044	184	500	1044	0.08369315969040171	0.06864007684321229	417	128	17.59615129414413	12.981633353897964	93.7973875054609	53.09009977192296	4.387155963302752	0.7377541336677502	4.399037823536032	
0.3	37246	2.2531645569620253	1.245769425845924	8	4.757238307349666	0.8289566999971627	449	2	948	216	500	948	0.09863680500495671	0.08045862188693198	337	112	18.696570401974228	13.826633888200615	110.74921518718847	58.43363522764919	4.917594654788418	0.7395278166492298	3.7393140803948457	
0.3	37598	2.301522842639594	1.2063485685188813	8	4.6646090534979425	0.7834860315054282	486	3	985	202	500	985	0.08551354128338604	0.06898802355318541	348	138	17.403014247450965	12.136766894250462	98.72906378600823	59.55021608711494	4.563786008230453	0.5834403120075846	4.350753561862741	
0.3	37319	2.3297029702970296	1.2496371397650945	8	4.604696673189824	0.6826745033062759	511	3	1010	191	500	1010	0.08299389339080805	0.06846138449464942	387	124	19.024529013199274	14.289768546886279	93.89575528841674	56.38889892268788	4.285714285714286	0.7511233806088968	3.804905802639855	
0.3	37385	2.3630069238377844	1.2704417399436434	9	4.666015625	0.7472458178242681	512	1	1011	197	500	1011	0.08800550537725416	0.0720792229298436	381	131	17.954430350617127	13.021495530177036	97.82371806795635	56.098257591173855	4.53125	0.725252501799895	3.5908860701234255	
0.3	36969	2.3386138613861385	1.2364889847114744	9	4.6223091976516635	0.7377249567645191	511	2	1010	192	500	1010	0.08374827336271334	0.06854029254043006	387	124	18.297229225437288	13.285737943240953	91.88253812940701	54.44271708450432	4.334637964774951	0.726106547584307	3.6594458450874576	
0.4	49882	2.010250569476082	1.0982009231060885	9	4.6569920844327175	0.8368318363714327	379	5	878	249	500	878	0.08490909643731973	0.06916941753749775	300	79	17.037184515020318	12.40025653448243	119.48784080914689	73.50898164486382	4.065963060686016	0.7278348440465688	3.4074369030040637	
0.4	49595	2.057110862262038	1.1269315114977199	9	4.66243654822335	0.8187275953670404	394	6	893	244	500	893	0.08845929689923734	0.072623285896419	316	78	16.657136099711977	12.129714866708028	122.86941020062848	69.47436057502098	3.7563451776649748	0.7281993011342308	4.164284024927994	
0.4	49646	2.0045454545454544	1.0357155070627493	9	4.6299212598425195	0.8145960105884722	381	9	880	237	500	880	0.07983465221208774	0.06602643982060333	314	67	14.935017884652014	10.350442699139151	122.05299129275511	66.63356508464801	3.4461942257217846	0.14150506882865252	3.7337544711630035	
0.4	49816	2.0605381165919283	1.0770386559842433	10	4.676844783715013	0.7878842211152979	393	7	892	236	500	892	0.08909239502093994	0.07311622621692085	315	78	17.434275745741573	12.988224921165822	123.41304980007271	67.3964766758415	3.6030534351145036	0.7449821897154675	4.358568936435393	
0.4	49743	2.0605726872246697	1.142717075745851	9	4.574572127139365	0.7723452838353533	409	8	908	240	500	908	0.07243842509053965	0.06020300779111572	332	77	18.255236733938418	14.036443713143244	129.74464334225948	65.3186060266848	3.6136919315403424	0.7688995720908954	3.6510473467876836	
0.4	50079	1.9533799533799534	1.0378249614011141	8	4.6685236768802225	0.7712709143067443	359	10	858	252	500	858	0.09243043273864272	0.07536642361275712	283	76	16.46813062094503	11.658244464664925	127.72109696246186	71.61931410880386	3.713091922005571	0.41241644745514994	4.117032655236257	
